AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1/1/2015,31,28,26,23,23,22,79,71,54,1016,1014,1012,31,16,10,40,31,58,0.25,1,,83
1/2/2015,31,29,26,24,23,22,89,72,55,1016,1014,1012,31,14,3,48,34,69,0.25,2,,77
1/3/2015,31,28,25,24,23,21,89,73,54,1018,1015,1009,31,12,2,127,37,69,2.03,3,Rain,76
1/4/2015,31,28,24,23,23,22,89,76,59,1017,1015,1006,31,15,10,45,29,61,2.03,2,Rain,76
1/5/2015,30,27,24,24,23,22,89,75,62,1018,1016,1014,31,15,10,40,31,50,0.51,2,Rain,75
1/6/2015,30,27,23,23,22,21,89,71,53,1017,1015,1013,31,14,10,40,27,,3.05,1,,79
1/7/2015,31,27,24,23,22,21,83,72,52,1016,1013,1011,31,14,10,39,26,58,0.51,2,Rain,86
1/8/2015,30,28,26,22,22,21,78,70,54,1015,1013,1012,31,12,10,37,26,52,0,2,,80
1/9/2015,30,28,26,24,22,21,89,73,56,1015,1013,1012,26,12,2,40,32,60,0.51,2,Rain,81
1/10/2015,31,28,26,24,23,23,84,75,59,1016,1014,1012,26,14,10,42,31,61,0,2,Rain,76
1/11/2015,30,28,26,24,23,23,84,76,62,1015,1013,1011,26,13,10,45,34,63,0.51,2,Rain,81
1/12/2015,30,28,26,24,23,23,84,76,62,1015,1013,1011,31,14,10,42,31,55,0.25,2,,76
1/13/2015,31,28,25,24,23,3,89,75,21,1015,1012,1010,31,15,10,42,32,63,0.51,2,Rain,81
1/14/2015,30,28,26,24,23,22,84,77,59,1013,1011,1010,31,15,10,40,29,,0,2,,85
1/15/2015,31,28,26,24,23,23,89,77,61,1013,1012,1010,31,14,10,37,29,52,0,3,,80
1/16/2015,31,28,26,24,24,23,89,77,58,1014,1012,1010,26,14,10,138,31,53,0,3,Rain,78
1/17/2015,31,28,26,24,23,23,89,77,59,1014,1013,1011,31,14,10,27,21,,0,2,,76
1/18/2015,31,28,26,24,23,22,89,75,54,1015,1013,1011,31,15,10,34,23,,0,3,,74
1/19/2015,31,28,25,23,22,21,89,73,55,1015,1013,1011,31,15,10,27,19,,0,1,,72
1/20/2015,30,28,25,23,22,21,89,71,53,1014,1012,1010,31,15,10,47,23,45,0.25,2,,77
1/21/2015,31,28,25,23,22,21,83,70,49,1014,1012,1011,31,12,10,32,23,47,0,2,,74
1/22/2015,31,28,25,23,22,21,83,71,44,1015,1013,1012,10,10,10,32,23,53,0,1,,70
1/23/2015,31,28,25,23,22,21,83,72,51,1015,1013,1010,21,10,10,159,23,,0,2,,73
1/24/2015,30,28,25,23,22,22,83,73,58,1015,1013,1011,10,10,10,32,23,50,0,2,,91
1/25/2015,31,28,26,23,22,22,83,71,51,1014,1012,1010,31,13,10,39,29,53,0,2,,84
1/26/2015,31,27,23,23,23,21,97,75,58,1013,1011,1010,31,15,10,35,29,53,0,2,,82
1/27/2015,31,28,25,23,23,22,83,73,55,1013,1011,1009,31,15,10,34,26,52,0,2,,88
1/28/2015,31,28,26,23,22,21,83,71,54,1014,1011,1009,31,16,10,39,27,58,0,1,,85
1/29/2015,31,28,25,24,22,21,84,74,58,1013,1011,1010,31,15,10,37,26,53,0,1,,77
1/30/2015,31,28,25,23,23,22,83,73,49,1014,1012,1010,31,15,10,37,26,55,0,2,,84
1/31/2015,30,28,26,25,23,22,84,76,60,1014,1012,1011,31,15,5,32,26,47,0.51,2,Rain,69
2/1/2015,31,29,26,24,23,23,89,75,56,1015,1013,1011,31,14,10,40,29,60,0,2,,78
2/2/2015,31,29,26,23,22,21,83,69,51,1015,1013,1011,31,12,2,40,29,58,0,1,,83
2/3/2015,31,28,25,23,22,21,83,71,54,1015,1013,1011,26,13,10,48,32,69,0,2,Rain,82
2/4/2015,31,29,26,24,23,22,79,72,55,1014,1012,1010,26,13,10,48,34,66,0,2,,80
2/5/2015,31,28,26,23,22,22,83,71,50,1013,1011,1009,18,11,10,47,34,63,0,1,,87
2/6/2015,31,28,25,23,22,21,78,70,52,1013,1011,1010,19,12,10,39,27,55,0,1,,81
2/7/2015,31,28,25,23,22,20,83,70,47,1014,1012,1009,31,14,10,34,21,,0,1,,78
2/8/2015,30,28,25,24,23,22,89,78,54,1015,1012,1010,31,15,10,27,16,,0,3,,98
2/9/2015,29,26,23,24,23,21,89,79,62,1014,1011,1009,31,13,10,26,14,,0,2,,101
2/10/2015,31,28,25,25,23,22,89,78,59,1012,1010,1008,10,10,10,24,16,,0,1,,93
2/11/2015,31,28,25,25,24,23,94,81,60,1013,1011,1009,26,13,10,19,6,34,0,2,,16
2/12/2015,31,28,26,25,24,23,89,78,60,1015,1013,1011,31,15,10,24,11,,0,3,,54
2/13/2015,32,29,26,25,24,23,89,77,58,1015,1013,1011,31,15,10,32,19,,0,2,,77
2/14/2015,32,29,26,24,24,23,84,74,55,1014,1013,1009,31,15,10,37,26,55,0,2,,84
2/15/2015,32,29,26,25,23,22,79,70,51,1015,1013,1011,31,15,10,39,27,53,0,1,,80
2/16/2015,31,28,26,23,22,21,83,69,52,1015,1013,1011,31,12,10,40,27,61,0,1,,74
2/17/2015,32,28,25,23,22,21,83,70,50,1015,1012,1011,10,10,10,40,31,58,0.25,2,,80
2/18/2015,31,29,26,24,23,22,83,72,55,1014,1012,1010,10,10,10,37,31,58,0,2,,87
2/19/2015,32,29,26,23,23,22,83,70,53,1014,1012,1010,10,10,10,34,24,,0,2,,75
2/20/2015,32,28,25,23,22,21,79,71,50,1015,1012,1011,10,10,10,34,21,58,0,2,Rain,69
2/21/2015,31,28,26,23,23,22,79,71,56,1016,1014,1012,26,11,10,35,26,48,0,2,,69
2/22/2015,32,29,26,23,22,22,79,70,51,1015,1013,1011,10,10,10,39,29,58,0,2,,74
2/23/2015,31,27,23,24,22,21,89,73,56,1015,1013,1011,10,10,10,42,29,60,3.05,2,Rain,80
2/24/2015,31,28,26,23,22,21,78,69,54,1014,1012,1010,10,10,10,61,29,50,0,2,,79
2/25/2015,32,29,26,23,22,22,83,70,51,1014,1012,1010,10,10,10,40,32,61,0,1,,85
2/26/2015,31,29,26,23,22,21,79,69,52,1014,1012,1010,10,10,10,42,35,58,0,2,,88
