D,M,A,MaxT,MeanT,MinT,Dew,MeanDew,MinDew,MaxHum,MeanHum,MinHum,MaxSea,MeanSea,MinSea,MaxVisi,MeanVisi,MinVisi,MaxWind,MeanWind,MaxGust,Precipi,CloudCover,Events,Wind
01,01,15,31,27,22,24,23,22,94,84,62,1017,1012,1007,10,9,5,14,5,,0.00,5,Fog-Rain,344
02,01,15,32,27,23,24,23,22,94,85,56,1018,1012,1008,10,8,0,32,8,,0.00,7,Rain,274
03,01,15,27,25,23,24,23,22,95,91,72,1018,1013,1010,10,9,1,16,6,,0.76,6,Rain,192
04,01,15,31,26,22,24,22,22,100,87,65,1018,1013,1010,10,8,1,13,6,,0.00,6,Fog-Rain,246
05,01,15,29,26,23,24,23,22,94,89,67,1018,1013,1010,10,8,0,26,8,47,0.00,6,Rain,221
06,01,15,28,24,21,23,22,21,96,90,73,1018,1014,1011,10,8,1,13,6,,0.00,7,Rain,105
07,01,15,28,26,22,23,23,22,94,88,71,1018,1013,1009,10,9,5,13,3,,0.00,6,Fog-Rain,347
08,01,15,28,26,22,24,22,22,94,87,65,1025,1013,1009,10,9,2,13,6,,0.00,7,Rain,216
09,01,15,29,26,22,23,22,22,94,89,74,1019,1014,1010,10,8,1,10,2,,0.00,6,Rain,218
10,01,15,29,26,22,24,22,21,94,89,63,1019,1013,1011,10,8,1,13,3,,0.00,7,Fog-Rain,234
11,01,15,33,28,23,24,23,22,94,86,59,1018,1013,1008,27,9,0,111,3,,0.00,6,Fog,235
12,01,15,29,26,22,24,23,21,96,88,70,1019,1013,1008,10,9,3,167,6,,0.00,6,Rain,197
13,01,15,32,27,22,25,23,22,95,86,60,1018,1012,1008,10,10,8,10,3,,0.00,5,,240
14,01,15,33,28,24,24,23,22,94,81,49,1017,1012,1008,10,9,6,19,6,,0.00,5,Rain,62
15,01,15,32,27,22,24,23,22,96,83,54,1017,1012,1008,10,9,8,13,3,,0.00,4,Thunderstorm,268
16,01,15,32,28,23,25,23,22,97,88,60,1018,1012,1008,10,9,4,26,3,,0.00,5,Rain-Thunderstorm,80
17,01,15,34,28,22,24,23,22,96,79,49,1016,1011,1006,10,9,3,19,3,,0.00,4,Fog-Thunderstorm,280
18,01,15,30,26,22,24,23,22,94,86,68,1017,1012,1008,10,9,5,21,10,,0.00,6,Rain,33
19,01,15,33,28,23,24,23,22,100,84,49,1017,1012,1007,10,9,0,19,3,,0.00,5,Fog,184
20,01,15,30,27,23,24,23,23,94,87,59,1017,1011,1007,10,9,2,13,5,,0.00,6,Rain,1
